An industrial machine made 9 shirts yesterday and 44 shirts today. It can make 3 shirts a minute. How many minutes did the machine work yesterday?,There are 60 minutes in an hour. 3 shirts per minute means the machine can make 180 shirts in an hour. 9 shirts divided by 180 shirts per hour equals 1/20th of an hour or 3 minutes. Therefore the answer (arabic numerals) is 3. I hope this helps!
At the zoo a cage had 93 snakes and 97 alligators. If 40 alligators were hiding How many alligators were not hiding?,There are 97 alligators in the cage. 40 of them are hiding. That means that 97-40=57 alligators are not hiding. Therefore the answer (arabic numerals) is 57.
Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogther How many flower beds did they have?,We know that Paige and her mom planted 60 seeds in total. We also know that they put 10 seeds in each flower bed. From this we can infer that they had 6 flower beds. Therefore the answer (arabic numerals) is 6.
Rebecca wants to split a collection of eggs into 4 groups. Rebecca has 8 eggs and 6 marbles. How many eggs will each group have?,Rebecca wants to split a collection of eggs into 4 groups. That means she wants to put the eggs into 4 different groups. Rebecca has 8 eggs and 6 marbles.That means she has 8 eggs and 6 marbles total. How many eggs will each group have?That means we need to figure out how to divide 8 eggs into 4 groups. Each group would have 2 eggs. Therefore the answer (arabic numerals) is 2.
Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 144 chocolate chip cookies and 397 raisin cookies yesterday. And she baked 85 raisin cookies and 403 chocolate chip cookies this morning. How many raisin cookies did Helen bake?,Helen baked 397 raisin cookies yesterday. This morning she baked 85 more raisin cookies. So in total Helen baked 482 raisin cookies. Therefore the answer (arabic numerals) is 482.
Rachel had to complete 5 pages of math homework and 2 pages of reading homework. How many more pages of math homework than reading homework did she have?,First we need to find out how many pages of homework Rachel had in total. We can do this by adding 5 pages of math homework to 2 pages of reading homework. This gives us a total of 7 pages of homework. Next we need to find out how many more pages of math homework than reading homework Rachel had. We can do this by subtracting 2 pages of reading homework from 5 pages of math homework. This gives us a difference of 3 pages. Therefore Rachel had 3 more pages of math homework than reading homework. Therefore the answer (arabic numerals) is 3.
3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,There are 3 birds and 4 storks sitting on the fence. 2 more birds come to join them. Now there are 5 birds and 4 storks sitting on the fence. So there is 1 more bird than stork sitting on the fence. Therefore the answer (arabic numerals) is 1.
In Haley's class 4 are boys who love to play marbles. If Haley has 23 marbles and wants to keep 15 marbles for herself How many will each of the boys receive?,Haley has 23 marbles. She wants to keep 15 for herself. That means she wants to give away 8. There are 4 boys so each boy will get 2 marbles. Therefore the answer (arabic numerals) is 2.
Matthew had 8 crackers to give to friends. If Matthew gave 2 crackers to each his friends How many friends did he give crackers to?,Matthew has 8 crackers. If Matthew gave 2 crackers to each of his friends then he would have given away 2 + 2 + 2 + 2 = 8 crackers. So Matthew gave crackers to 4 friends. Therefore the answer (arabic numerals) is 4.
Every day Ryan spends a total of 3 hours on learning english and chinese. If he spends 2 hours on learning english everyday How many hours does he spend on learning chinese?,First we know that Ryan spends a total of 3 hours on learning english and chinese. Second we know that he spends 2 hours on learning english everyday. That means that he spends 1 hour on learning chinese everyday. Therefore the answer (arabic numerals) is 1.
With 28 dollars 2 packs of dvds can be bought. How much does each pack cost?,With 28 dollars 2 packs of DVDs can be bought. This means that each pack costs 28/2=14 dollars. Therefore the answer (arabic numerals) is 14. I hope this helps!
They decided to hold the party in their backyard. They have some sets of tables each having the 3 chairs. If there are a total of 9 chairs in the backyard How many sets of tables do they have?,There are 9 chairs in the backyard. Each set of tables has 3 chairs. That means that if we divide 9 by 3 we will know how many sets of tables there are. 9 divided by 3 is 3. That means that there are 3 sets of tables in the backyard. Therefore the answer (arabic numerals) is 3.
Bobby ate 33 pieces of candy. Then he ate 4 more. He also ate 14 pieces of chocolate. How many pieces of candy and chocolate did Bobby eat altogether?,Bobby ate 33 pieces of candy. Then he ate 4 more. That means he ate a total of 33 + 4 = 37 pieces of candy. He also ate 14 pieces of chocolate. That means he ate a total of 37 + 14 = 51 pieces of candy and chocolate. Therefore the answer (arabic numerals) is 51.
A waiter had 8 customers. After some left he still had 5 customers. Then he got 99 new customers How many customers left?,The waiter had 8 customers. Some left so he had 5 customers. He got 99 new customers. So the waiter had 8 customers some left and then he had 104 customers. Therefore the answer (arabic numerals) is 3.
They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs How many chairs do they have in the backyard?,They have 11 sets of tables and each set has 13 chairs. So they have 11 times 13 chairs in the backyard. That's 143 chairs in the backyard. Therefore the answer (arabic numerals) is 143.
