Today 8/3/1997 is a day that we will never forget. What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 08/04/1997 (B) 12/04/1996 (C) 08/04/1901 (D) 08/04/2004 (E) 08/01/1997 (F) 08/07/1997,The day after 8/3/1997 is 8/4/1997. Therefore among A through F the answer is A.
Today is 9/7. Jane is watching NFL 2003. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 09/08/2003 (B) 09/10/2003 (C) 08/29/2003 (D) 09/07/2003 (E) 09/08/1917,The day after 9/7 is 9/8. 24 hours after 9/8 is 9/9. Therefore the answer is 9/9/2003. Therefore among A through F the answer is A.
Jane was born on the last day of Feburary in 2001. Today is her 16-year-old birthday. What is the date one week ago from today in MM/DD/YYYY? Answer Choices: (A) 02/21/2017 (B) 03/21/2017 (C) 03/03/2017 (D) 04/27/2017 (E) 02/21/1961,Jane's 16th birthday is on 02/28/2017. One week ago from today would be 02/21/2017. The answer is (A). Therefore among A through F the answer is A.
Today is Apr 10 1985. Jane's appointment will be 3 days later. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 03/10/1985 (B) 04/13/1985 (C) 04/10/1985 (D) 04/12/1986 (E) 05/13/1985 (F) 04/07/1985,Today is April 10 1985. 3 days later would be April 13 1985. A month ago would be March 13 1985. Therefore among A through F the answer is A.
Today is the first day of 2007. What is the date 24 hours later in MM/DD/YYYY? Answer Choices: (A) 10/21/2006 (B) 01/01/2007 (C) 01/02/2007 (D) 01/11/2007 (E) 01/02/1931 (F) 12/12/2006,The first day of 2007 is January 1st. 24 hours later would be January 2nd. Therefore the date 24 hours later in MM/DD/YYYY would be 01/02/2007. Therefore among A through F the answer is C.
Jane quited her job on Mar 20 2020. 176 days have passed since then. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 09/11/2020 (B) 09/10/2020 (C) 09/17/2020 (D) 09/11/2094 (E) 08/14/2020 (F) 10/09/2020,Jane quited her job on Mar 20 2020. That means that the day before Mar 20 2020 was Mar 19 2020. 176 days after Mar 19 2020 would be Sept 11 2020. Therefore the answer is (A). Therefore among A through F the answer is A.
The first day of 2019 is a Tuesday and today is the first Monday of 2019. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 09/06/2018 (B) 12/08/2018 (C) 12/07/2075 (D) 12/07/2018 (E) 11/30/2018,The first day of 2019 is a Tuesday. Today is the first Monday of 2019. That means that a month ago today was December 31 2018 which was a Monday. Therefore the date a month ago in MM/DD/YYYY is 12/31/2018. Therefore among A through F the answer is D.
The day before yesterday was 11/23/1933. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 11/25/1933 (B) 11/24/2020 (C) 12/22/1933 (D) 10/27/1933 (E) 11/24/1933 (F) 12/27/1933,The day before yesterday was 11/23/1933. Yesterday was 11/24/1933. Therefore among A through F the answer is E.
Today's meeting is rescheduled to 11 am tomorrow 10/16/1924. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 09/15/1924 (B) 07/07/1924 (C) 10/13/1924 (D) 09/14/1924 (E) 07/30/1924 (F) 03/15/1925,First we need to figure out what the date a month ago would be. We can do this by subtracting 1 from the month. In this case the month is October so a month ago would have been September. Next we need to fill in the day and year. The day is 16 so a month ago would have been 15. The year is 1924 so a month ago would have been 1924. Therefore the date a month ago would have been 09/15/1924. Therefore among A through F the answer is A.
Jane got her job in 2016. Today is her 3-year work anniversary. She still remember that on Dec 2 her second day at work she spilled coffee on her laptop. What is the date a month ago in MM/DD/YYYY? Answer Choices: (A) 08/04/2019 (B) 11/01/2089 (C) 09/06/2019 (D) 11/01/2019 (E) 11/01/1933 (F) 11/02/2019,Jane's 3-year work anniversary was December 2 2019. A month ago would have been November 2 2019. Therefore among A through F the answer is D.
Jane and John married on Jan 2 1958. Today is their golden wedding anniversary. What is the date today in MM/DD/YYYY? Answer Choices: (A) 08/02/2008 (B) 01/02/2085 (C) 12/04/2007 (D) 01/02/2008 (E) 01/11/2008 (F) 01/30/2008,Jane and John were married on January 2 1958. Today is their golden wedding anniversary. A golden wedding anniversary is 50 years. 50 years from January 2 1958 is January 2 2008. Therefore the date today is 01/02/2008. Therefore among A through F the answer is D.
Today is Christmas Eve of 1937. What is the date yesterday in MM/DD/YYYY? Answer Choices: (A) 12/31/1937 (B) 09/23/1938 (C) 12/24/1937 (D) 12/23/1937 (E) 12/23/1896 (F) 01/06/1938,First we need to find out what day of the week December 24 1937 falls on. We can do this by finding a calendar for 1937 and counting the days. December 24 1937 falls on a Thursday. Now we need to find out how many days ago Wednesday was. We can do this by counting back from Thursday on a calendar. Wednesday was 1 day ago. Therefore the date yesterday was December 23 1937. Therefore among A through F the answer is D.
Today 8/3/1997 is a day that we will never forget. What is the date today in MM/DD/YYYY? Answer Choices: (A) 08/02/1997 (B) 08/03/2097 (C) 08/05/1997 (D) 08/03/1997 (E) 08/04/1997 (F) 08/17/1997,The day we will never forget is September 11 2001. In MM/DD/YYYY format that would be 09/11/2001. Therefore among A through F the answer is D.
Jane scheduled 3 apointments with 5 poeple for tomorrow (Tue 7/9/1972). What is the date tomorrow in MM/DD/YYYY? Answer Choices: (A) 08/05/1972 (B) 09/01/1972 (C) 07/09/1972 (D) 09/04/1972 (E) 07/09/1923 (F) 07/09/2007,Jane scheduled 3 appointments with 5 people for tomorrow. The first thing we need to do is figure out how many appointments that is. 3 appointments with 5 people is 15 appointments. The next thing we need to do is figure out how long each appointment is. If we assume that each appointment is 30 minutes long then 15 appointments would be 7.5 hours long. The last thing we need to do is figure out what time the appointments are. If we assume that the appointments are scheduled for 9:00 AM 10:00 AM 11:00 AM 12:00 PM and Therefore among A through F the answer is C: 07/09/1972.
Today is Apr 10 1985. Jane's appointment will be 3 days later. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 04/12/1986 (B) 04/10/1984 (C) 04/10/1985 (D) 05/13/1985 (E) 03/10/1986 (F) 04/07/1985,Today is Apr 10 1985. Jane's appointment will be 3 days later. That means Jane's appointment is on Apr 13 1985. One year ago from today would be Apr 10 1984. Therefore the answer is (B) 04/10/1984. Therefore among A through F the answer is (B).
Today is Christmas Eve of 1937. What is the date one year ago from today in MM/DD/YYYY? Answer Choices: (A) 01/10/1937 (B) 12/24/1862 (C) 12/29/1936 (D) 10/24/1936 (E) 12/24/1936 (F) 03/24/1936,One year ago from today would be December 24 1936. Therefore the answer is (E). Therefore among A through F the answer is (E).
